,time,v_(i-1),x_(i-1),x_i0,s_i0,s_imin0,v_i0,x_i1,s_i1,s_imin1,v_i1,x_i2,s_i2,s_imin2,v_i2,x_i3,s_i3,s_imin3,v_i3,x_i4,s_i4,s_imin4,v_i4,x_i5,s_i5,s_imin5,v_i5,x_i6,s_i6,s_imin6,v_i6,x_i7,s_i7,s_imin7,v_i7,x_i8,s_i8,s_imin8,v_i8,x_i9,s_i9,s_imin9,v_i9
0,0.0,0.0,5000.0,-102,0,0,0,-202,0,0,0,-302,0,0,0,-402,0,0,0,-502,0,0,0,-602,0,0,0,-702,0,0,0,-802,0,0,0,-902,0,0,0,-1002,0,0,0
1,1.0,0.0,5000.0,-98,5102,6,4,-198,100,6,4,-298,100,6,4,-398,100,6,4,-498,100,6,4,-598,100,6,4,-698,100,6,4,-798,100,6,4,-898,100,6,4,-998,100,6,4
2,2.0,0.0,5000.0,-90,5098,11,8,-190,100,11,8,-290,100,11,8,-390,100,11,8,-490,100,11,8,-590,100,11,8,-690,100,11,8,-790,100,11,8,-890,100,11,8,-990,100,11,8
3,3.0,0.0,5000.0,-78,5090,16,12,-178,100,16,12,-278,100,16,12,-378,100,16,12,-478,100,16,12,-578,100,16,12,-678,100,16,12,-778,100,16,12,-878,100,16,12,-978,100,16,12
4,4.0,0.0,5000.0,-62,5078,22,16,-162,100,22,16,-262,100,22,16,-362,100,22,16,-462,100,22,16,-562,100,22,16,-662,100,22,16,-762,100,22,16,-862,100,22,16,-962,100,22,16
5,5.0,0.0,5000.0,-42,5062,27,20,-142,100,27,20,-242,100,27,20,-342,100,27,20,-442,100,27,20,-542,100,27,20,-642,100,27,20,-742,100,27,20,-842,100,27,20,-942,100,27,20
6,6.0,0.0,5000.0,-18,5042,32,24,-118,100,32,24,-218,100,32,24,-318,100,32,24,-418,100,32,24,-518,100,32,24,-618,100,32,24,-718,100,32,24,-818,100,32,24,-918,100,32,24
7,7.0,0.0,5000.0,10,5018,38,28,-90,100,38,28,-190,100,38,28,-290,100,38,28,-390,100,38,28,-490,100,38,28,-590,100,38,28,-690,100,38,28,-790,100,38,28,-890,100,38,28
8,8.0,0.0,5000.0,40,4990,43,30,-60,100,43,30,-160,100,43,30,-260,100,43,30,-360,100,43,30,-460,100,43,30,-560,100,43,30,-660,100,43,30,-760,100,43,30,-860,100,43,30
9,9.0,0.0,5000.0,70,4960,46,30,-30,100,46,30,-130,100,46,30,-230,100,46,30,-330,100,46,30,-430,100,46,30,-530,100,46,30,-630,100,46,30,-730,100,46,30,-830,100,46,30
10,10.0,0.0,5000.0,100,4930,46,30,0,100,46,30,-100,100,46,30,-200,100,46,30,-300,100,46,30,-400,100,46,30,-500,100,46,30,-600,100,46,30,-700,100,46,30,-800,100,46,30
11,11.0,0.0,5000.0,130,4900,46,30,30,100,46,30,-70,100,46,30,-170,100,46,30,-270,100,46,30,-370,100,46,30,-470,100,46,30,-570,100,46,30,-670,100,46,30,-770,100,46,30
12,12.0,0.0,5000.0,160,4870,46,30,60,100,46,30,-40,100,46,30,-140,100,46,30,-240,100,46,30,-340,100,46,30,-440,100,46,30,-540,100,46,30,-640,100,46,30,-740,100,46,30
13,13.0,0.0,5000.0,190,4840,46,30,90,100,46,30,-10,100,46,30,-110,100,46,30,-210,100,46,30,-310,100,46,30,-410,100,46,30,-510,100,46,30,-610,100,46,30,-710,100,46,30
14,14.0,0.0,5000.0,220,4810,46,30,120,100,46,30,20,100,46,30,-80,100,46,30,-180,100,46,30,-280,100,46,30,-380,100,46,30,-480,100,46,30,-580,100,46,30,-680,100,46,30
15,15.0,0.0,5000.0,250,4780,46,30,150,100,46,30,50,100,46,30,-50,100,46,30,-150,100,46,30,-250,100,46,30,-350,100,46,30,-450,100,46,30,-550,100,46,30,-650,100,46,30
16,16.0,0.0,5000.0,280,4750,46,30,180,100,46,30,80,100,46,30,-20,100,46,30,-120,100,46,30,-220,100,46,30,-320,100,46,30,-420,100,46,30,-520,100,46,30,-620,100,46,30
17,17.0,0.0,5000.0,310,4720,46,30,210,100,46,30,110,100,46,30,10,100,46,30,-90,100,46,30,-190,100,46,30,-290,100,46,30,-390,100,46,30,-490,100,46,30,-590,100,46,30
18,18.0,0.0,5000.0,340,4690,46,30,240,100,46,30,140,100,46,30,40,100,46,30,-60,100,46,30,-160,100,46,30,-260,100,46,30,-360,100,46,30,-460,100,46,30,-560,100,46,30
19,19.0,0.0,5000.0,370,4660,46,30,270,100,46,30,170,100,46,30,70,100,46,30,-30,100,46,30,-130,100,46,30,-230,100,46,30,-330,100,46,30,-430,100,46,30,-530,100,46,30
20,20.0,0.0,5000.0,400,4630,46,30,300,100,46,30,200,100,46,30,100,100,46,30,0,100,46,30,-100,100,46,30,-200,100,46,30,-300,100,46,30,-400,100,46,30,-500,100,46,30
21,21.0,0.0,5000.0,430,4600,46,30,330,100,46,30,230,100,46,30,130,100,46,30,30,100,46,30,-70,100,46,30,-170,100,46,30,-270,100,46,30,-370,100,46,30,-470,100,46,30
22,22.0,0.0,5000.0,460,4570,46,30,360,100,46,30,260,100,46,30,160,100,46,30,60,100,46,30,-40,100,46,30,-140,100,46,30,-240,100,46,30,-340,100,46,30,-440,100,46,30
23,23.0,0.0,5000.0,490,4540,46,30,390,100,46,30,290,100,46,30,190,100,46,30,90,100,46,30,-10,100,46,30,-110,100,46,30,-210,100,46,30,-310,100,46,30,-410,100,46,30
24,24.0,0.0,5000.0,520,4510,46,30,420,100,46,30,320,100,46,30,220,100,46,30,120,100,46,30,20,100,46,30,-80,100,46,30,-180,100,46,30,-280,100,46,30,-380,100,46,30
25,25.0,0.0,5000.0,550,4480,46,30,450,100,46,30,350,100,46,30,250,100,46,30,150,100,46,30,50,100,46,30,-50,100,46,30,-150,100,46,30,-250,100,46,30,-350,100,46,30
26,26.0,0.0,5000.0,580,4450,46,30,480,100,46,30,380,100,46,30,280,100,46,30,180,100,46,30,80,100,46,30,-20,100,46,30,-120,100,46,30,-220,100,46,30,-320,100,46,30
27,27.0,0.0,5000.0,610,4420,46,30,510,100,46,30,410,100,46,30,310,100,46,30,210,100,46,30,110,100,46,30,10,100,46,30,-90,100,46,30,-190,100,46,30,-290,100,46,30
28,28.0,0.0,5000.0,640,4390,46,30,540,100,46,30,440,100,46,30,340,100,46,30,240,100,46,30,140,100,46,30,40,100,46,30,-60,100,46,30,-160,100,46,30,-260,100,46,30
29,29.0,0.0,5000.0,670,4360,46,30,570,100,46,30,470,100,46,30,370,100,46,30,270,100,46,30,170,100,46,30,70,100,46,30,-30,100,46,30,-130,100,46,30,-230,100,46,30
30,30.0,0.0,5000.0,700,4330,46,30,600,100,46,30,500,100,46,30,400,100,46,30,300,100,46,30,200,100,46,30,100,100,46,30,0,100,46,30,-100,100,46,30,-200,100,46,30
31,31.0,0.0,5000.0,730,4300,46,30,630,100,46,30,530,100,46,30,430,100,46,30,330,100,46,30,230,100,46,30,130,100,46,30,30,100,46,30,-70,100,46,30,-170,100,46,30
